# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 187057
  1 0.09375 48.0256 4.876 0.353031
  2 0.28125 48.0256 14.6864 0.35666
  3 0.46875 48.0256 24.5727 0.357451
  4 0.65625 48.0256 34.3142 0.361012
  5 0.84375 48.0256 43.7798 0.361995
  6 1.03125 48.0256 53.5421 0.358377
  7 1.21875 48.0256 63.1573 0.359496
  8 1.40625 48.0256 72.249 0.356974
  9 1.59375 48.0256 81.5491 0.353548
  10 1.78125 48.0256 90.5646 0.355745
  11 1.96875 48.0256 99.2691 0.352157
  12 2.15625 48.0256 108.263 0.349568
  13 2.34375 48.0256 117.168 0.349189
  14 2.53125 48.0256 125.709 0.346821
  15 2.71875 48.0256 133.793 0.342954
  16 2.90625 48.0256 142.354 0.34179
  17 3.09375 48.0256 151.026 0.339583
  18 3.28125 48.0256 158.205 0.336969
  19 3.46875 48.0256 166.289 0.335528
  20 3.65625 48.0256 173.858 0.331529
  21 3.84375 48.0256 181.064 0.331443
  22 4.03125 48.0256 188.426 0.328308
  23 4.21875 48.0256 195.366 0.326358
  24 4.40625 48.0256 202.283 0.322734
  25 4.59375 48.0256 208.92 0.322118
  26 4.78125 48.0256 215.259 0.316695
  27 4.96875 48.0256 222.052 0.313501
  28 5.15625 48.0256 227.718 0.308684
  29 5.34375 48.0256 233.483 0.307158
  30 5.53125 48.0256 239.504 0.302384
  31 5.71875 48.0256 245.054 0.299081
  32 5.90625 48.0256 250.141 0.29382
  33 6.09375 48.0256 254.928 0.291273
  34 6.28125 48.0256 259.993 0.284003
  35 6.46875 48.0256 263.83 0.281489
  36 6.65625 48.0256 268.038 0.275517
  37 6.84375 48.0256 271.956 0.271076
  38 7.03125 48.0256 275.2 0.26712
  39 7.21875 48.0256 278.267 0.260704
  40 7.40625 48.0256 281.22 0.255652
  41 7.59375 48.0256 283.211 0.248024
  42 7.78125 48.0256 285.271 0.243029
  43 7.96875 48.0256 287.2 0.236493
  44 8.15625 48.0256 289.086 0.228814
  45 8.34375 48.0256 290.324 0.221583
  46 8.53125 48.0256 290.954 0.214516
  47 8.71875 48.0256 291.596 0.205316
  48 8.90625 48.0256 291.534 0.199049
  49 9.09375 48.0256 291.038 0.191223
  50 9.28125 48.0256 290.25 0.180061
  51 9.46875 48.0256 289.205 0.170517
  52 9.65625 48.0256 287.852 0.161962
  53 9.84375 48.0256 287.468 0.150716
  54 10.0312 48.0256 288.346 0.138733
  55 10.2188 48.0256 288.468 0.125169
  56 10.4062 48.0256 285.423 0.114598
  57 10.5938 48.0256 284.435 0.0993378
  58 10.7812 48.0256 292.282 0.0855467
  59 10.9688 48.0256 310.036 0.071242
  60 11.1562 48.0256 318.469 0.0521073
  61 11.3438 48.0256 309.95 0.0346376
  62 11.5312 48.0256 328.245 0.0186625
  63 11.7188 48.0256 451.026 0.00648534
  64 11.9062 48.0256 876.135 0.00149365
  65 12.0938 48.0256 1173.12 0.000744258
  66 12.2812 48.0256 1010.72 0.000218551
  67 12.4688 48.0256 1077.21 1.71089e-05
  68 12.6562 48.0256 1053.54 0.000130417
  69 12.8438 48.0256 1473.11 9.89136e-05
  70 13.0312 48.0256 1674.8 1.05866e-05
  71 13.2188 48.0256 1306.45 8.30496e-06
  72 13.4062 48.0256 960.914 -4.87141e-05
  73 13.5938 48.0256 1735.1 6.19974e-05
  74 13.7812 48.0256 1888.28 -7.71897e-05
  75 13.9688 48.0256 1317.24 1.73906e-05
  76 14.1562 48.0256 1293.26 5.45016e-05
  77 14.3438 48.0256 1590.43 -0.000133573
  78 14.5312 48.0256 1767.01 0.000114116
  79 14.7188 48.0256 1925.45 -6.46351e-05
  80 14.9062 48.0256 151401 5.67362e-07
