# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 195811
  1 0.09375 48.0256 7.4041 0.198562
  2 0.28125 48.0256 22.1898 0.196573
  3 0.46875 48.0256 36.9034 0.195263
  4 0.65625 48.0256 51.7782 0.199483
  5 0.84375 48.0256 66.631 0.197138
  6 1.03125 48.0256 81.3274 0.195557
  7 1.21875 48.0256 95.8883 0.195366
  8 1.40625 48.0256 110.751 0.195609
  9 1.59375 48.0256 125.239 0.194799
  10 1.78125 48.0256 140.543 0.19387
  11 1.96875 48.0256 154.748 0.192363
  12 2.15625 48.0256 169.496 0.193338
  13 2.34375 48.0256 183.494 0.193877
  14 2.53125 48.0256 198.146 0.190982
  15 2.71875 48.0256 212.428 0.189854
  16 2.90625 48.0256 227.215 0.18919
  17 3.09375 48.0256 241.028 0.188235
  18 3.28125 48.0256 254.457 0.186129
  19 3.46875 48.0256 268.697 0.185124
  20 3.65625 48.0256 282.431 0.182585
  21 3.84375 48.0256 296.29 0.182051
  22 4.03125 48.0256 309.549 0.181069
  23 4.21875 48.0256 322.618 0.179229
  24 4.40625 48.0256 336.003 0.178493
  25 4.59375 48.0256 349.241 0.176527
  26 4.78125 48.0256 361.34 0.175932
  27 4.96875 48.0256 373.241 0.17587
  28 5.15625 48.0256 386.005 0.173388
  29 5.34375 48.0256 399.459 0.171223
  30 5.53125 48.0256 410.731 0.171306
  31 5.71875 48.0256 420.789 0.170175
  32 5.90625 48.0256 432.738 0.16765
  33 6.09375 48.0256 444.369 0.165884
  34 6.28125 48.0256 454.77 0.164097
  35 6.46875 48.0256 463.805 0.163045
  36 6.65625 48.0256 473.532 0.160239
  37 6.84375 48.0256 483.602 0.158946
  38 7.03125 48.0256 492.348 0.157883
  39 7.21875 48.0256 500.37 0.154896
  40 7.40625 48.0256 507.77 0.152065
  41 7.59375 48.0256 514.673 0.148777
  42 7.78125 48.0256 520.334 0.145717
  43 7.96875 48.0256 525.665 0.142747
  44 8.15625 48.0256 530.306 0.140314
  45 8.34375 48.0256 533.171 0.137514
  46 8.53125 48.0256 534.374 0.135143
  47 8.71875 48.0256 534.261 0.129882
  48 8.90625 48.0256 533.509 0.127401
  49 9.09375 48.0256 532.306 0.123701
  50 9.28125 48.0256 527.362 0.118809
  51 9.46875 48.0256 519.186 0.114837
  52 9.65625 48.0256 508.997 0.110557
  53 9.84375 48.0256 499.343 0.104771
  54 10.0312 48.0256 490.391 0.0990921
  55 10.2188 48.0256 476.155 0.0921691
  56 10.4062 48.0256 453.135 0.0837028
  57 10.5938 48.0256 431.848 0.0765001
  58 10.7812 48.0256 424.69 0.0679168
  59 10.9688 48.0256 425.612 0.0579267
  60 11.1562 48.0256 405.549 0.0445187
  61 11.3438 48.0256 364.101 0.0308545
  62 11.5312 48.0256 357.035 0.0151302
  63 11.7188 48.0256 463.93 0.00603865
  64 11.9062 48.0256 887.569 0.0012207
  65 12.0938 48.0256 1187.13 0.000521203
  66 12.2812 48.0256 1014.7 0.000239821
  67 12.4688 48.0256 1078.29 0.000104237
  68 12.6562 48.0256 1055.23 0.000241419
  69 12.8438 48.0256 1476.96 -4.6662e-05
  70 13.0312 48.0256 1674.15 4.28576e-05
  71 13.2188 48.0256 1307.39 -2.8508e-05
  72 13.4062 48.0256 959.746 6.76825e-06
  73 13.5938 48.0256 1738.73 7.37207e-07
  74 13.7812 48.0256 1884.93 -5.00437e-05
  75 13.9688 48.0256 1318.83 5.76193e-06
  76 14.1562 48.0256 1293.66 0.000167874
  77 14.3438 48.0256 1590.73 -4.39497e-06
  78 14.5312 48.0256 1765.19 -3.32364e-05
  79 14.7188 48.0256 1926.99 1.54533e-05
  80 14.9062 48.0256 151395 -5.95332e-07
