# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 191540
  1 0.09375 48.0256 6.1602 0.262897
  2 0.28125 48.0256 18.4473 0.265149
  3 0.46875 48.0256 31.0064 0.262089
  4 0.65625 48.0256 43.4325 0.259879
  5 0.84375 48.0256 55.5992 0.26067
  6 1.03125 48.0256 67.9001 0.263297
  7 1.21875 48.0256 79.9863 0.257822
  8 1.40625 48.0256 92.2554 0.257002
  9 1.59375 48.0256 104.817 0.257538
  10 1.78125 48.0256 116.848 0.25602
  11 1.96875 48.0256 128.865 0.256623
  12 2.15625 48.0256 140.221 0.258622
  13 2.34375 48.0256 152.775 0.253355
  14 2.53125 48.0256 164.553 0.253798
  15 2.71875 48.0256 176.187 0.2532
  16 2.90625 48.0256 187.885 0.251695
  17 3.09375 48.0256 199.294 0.248132
  18 3.28125 48.0256 211.101 0.250023
  19 3.46875 48.0256 222.201 0.24749
  20 3.65625 48.0256 233.226 0.247425
  21 3.84375 48.0256 244.515 0.243384
  22 4.03125 48.0256 255.538 0.243641
  23 4.21875 48.0256 265.893 0.241434
  24 4.40625 48.0256 276.304 0.237596
  25 4.59375 48.0256 287.173 0.237315
  26 4.78125 48.0256 297.208 0.235807
  27 4.96875 48.0256 307.301 0.23269
  28 5.15625 48.0256 316.747 0.232333
  29 5.34375 48.0256 326.122 0.230242
  30 5.53125 48.0256 335.238 0.227771
  31 5.71875 48.0256 343.842 0.225613
  32 5.90625 48.0256 352.298 0.223996
  33 6.09375 48.0256 360.434 0.222686
  34 6.28125 48.0256 367.818 0.218991
  35 6.46875 48.0256 375.289 0.215824
  36 6.65625 48.0256 381.728 0.211606
  37 6.84375 48.0256 388.132 0.209489
  38 7.03125 48.0256 393.351 0.206255
  39 7.21875 48.0256 398.015 0.203504
  40 7.40625 48.0256 402.597 0.20018
  41 7.59375 48.0256 406.522 0.196655
  42 7.78125 48.0256 408.569 0.190864
  43 7.96875 48.0256 411.297 0.18709
  44 8.15625 48.0256 412.623 0.182551
  45 8.34375 48.0256 412.814 0.17809
  46 8.53125 48.0256 412.451 0.173852
  47 8.71875 48.0256 410.85 0.1697
  48 8.90625 48.0256 408.159 0.163578
  49 9.09375 48.0256 405.906 0.158971
  50 9.28125 48.0256 401.495 0.152071
  51 9.46875 48.0256 395.341 0.146794
  52 9.65625 48.0256 388.329 0.141106
  53 9.84375 48.0256 382.797 0.134197
  54 10.0312 48.0256 378.627 0.125069
  55 10.2188 48.0256 370.017 0.114124
  56 10.4062 48.0256 356.785 0.105443
  57 10.5938 48.0256 346.551 0.0932695
  58 10.7812 48.0256 347.564 0.0809716
  59 10.9688 48.0256 357.98 0.0676453
  60 11.1562 48.0256 353.557 0.0507192
  61 11.3438 48.0256 330.604 0.033428
  62 11.5312 48.0256 336.356 0.0177649
  63 11.7188 48.0256 451.193 0.00632718
  64 11.9062 48.0256 878.52 0.00103296
  65 12.0938 48.0256 1185.57 0.000463988
  66 12.2812 48.0256 1014.69 3.51222e-05
  67 12.4688 48.0256 1079.66 0.000165922
  68 12.6562 48.0256 1050.55 -0.000120732
  69 12.8438 48.0256 1475.24 5.34765e-05
  70 13.0312 48.0256 1676.79 -5.2343e-06
  71 13.2188 48.0256 1307.63 -2.38812e-07
  72 13.4062 48.0256 959.756 6.47351e-06
  73 13.5938 48.0256 1735.22 1.23614e-05
  74 13.7812 48.0256 1887.69 -1.12507e-06
  75 13.9688 48.0256 1318.97 1.05065e-05
  76 14.1562 48.0256 1294.22 -2.17073e-05
  77 14.3438 48.0256 1589.01 -0.000103817
  78 14.5312 48.0256 1766.44 6.04086e-05
  79 14.7188 48.0256 1927.22 8.28748e-05
  80 14.9062 48.0256 151398 -6.65599e-07
