# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
100000 80 178537
  1 0.09375 48.0256 1.0132 0.571391
  2 0.28125 48.0256 3.0193 0.579261
  3 0.46875 48.0256 5.025 0.580328
  4 0.65625 48.0256 7.0776 0.563097
  5 0.84375 48.0256 9.1455 0.55931
  6 1.03125 48.0256 11.1863 0.567903
  7 1.21875 48.0256 13.2346 0.563813
  8 1.40625 48.0256 15.0862 0.562989
  9 1.59375 48.0256 17.0447 0.554153
  10 1.78125 48.0256 19.1464 0.550069
  11 1.96875 48.0256 20.9643 0.555865
  12 2.15625 48.0256 23.1548 0.550443
  13 2.34375 48.0256 25.2453 0.543852
  14 2.53125 48.0256 27.4166 0.537175
  15 2.71875 48.0256 29.4083 0.54011
  16 2.90625 48.0256 31.3552 0.530617
  17 3.09375 48.0256 33.5025 0.530038
  18 3.28125 48.0256 35.5586 0.52426
  19 3.46875 48.0256 37.5154 0.520684
  20 3.65625 48.0256 39.5907 0.522533
  21 3.84375 48.0256 41.7383 0.5228
  22 4.03125 48.0256 43.7006 0.517862
  23 4.21875 48.0256 45.9018 0.508403
  24 4.40625 48.0256 47.6664 0.504752
  25 4.59375 48.0256 49.9867 0.501756
  26 4.78125 48.0256 52.0462 0.492707
  27 4.96875 48.0256 54.0181 0.489517
  28 5.15625 48.0256 56.0125 0.47608
  29 5.34375 48.0256 58.0291 0.471172
  30 5.53125 48.0256 60.1164 0.46713
  31 5.71875 48.0256 62.3283 0.460284
  32 5.90625 48.0256 64.2704 0.454331
  33 6.09375 48.0256 66.444 0.446602
  34 6.28125 48.0256 68.4063 0.432817
  35 6.46875 48.0256 70.1218 0.425315
  36 6.65625 48.0256 72.2571 0.413785
  37 6.84375 48.0256 74.4728 0.40508
  38 7.03125 48.0256 76.54 0.395223
  39 7.21875 48.0256 78.7642 0.389393
  40 7.40625 48.0256 80.9789 0.376402
  41 7.59375 48.0256 83.0579 0.368331
  42 7.78125 48.0256 85.3723 0.361113
  43 7.96875 48.0256 87.7217 0.348416
  44 8.15625 48.0256 90.0878 0.338791
  45 8.34375 48.0256 92.516 0.330972
  46 8.53125 48.0256 94.9102 0.316768
  47 8.71875 48.0256 98.1513 0.297802
  48 8.90625 48.0256 100.679 0.288178
  49 9.09375 48.0256 104.278 0.273782
  50 9.28125 48.0256 108.094 0.260817
  51 9.46875 48.0256 112.029 0.246467
  52 9.65625 48.0256 116.779 0.230177
  53 9.84375 48.0256 121.991 0.21589
  54 10.0312 48.0256 128.892 0.200455
  55 10.2188 48.0256 136.528 0.181868
  56 10.4062 48.0256 144.387 0.160987
  57 10.5938 48.0256 154.762 0.140961
  58 10.7812 48.0256 171.543 0.118495
  59 10.9688 48.0256 198.714 0.0955798
  60 11.1562 48.0256 226.9 0.0668023
  61 11.3438 48.0256 245.199 0.0414274
  62 11.5312 48.0256 286.725 0.0207936
  63 11.7188 48.0256 427.388 0.00751555
  64 11.9062 48.0256 861.675 0.0018956
  65 12.0938 48.0256 1173.95 0.000590172
  66 12.2812 48.0256 1010.41 0.000233692
  67 12.4688 48.0256 1071.71 0.000205542
  68 12.6562 48.0256 1046.56 0.000226793
  69 12.8438 48.0256 1477.3 3.31586e-05
  70 13.0312 48.0256 1671.25 -8.16041e-05
  71 13.2188 48.0256 1304.41 2.14742e-05
  72 13.4062 48.0256 960.694 9.45468e-06
  73 13.5938 48.0256 1736.33 8.86758e-05
  74 13.7812 48.0256 1884.76 -7.16168e-05
  75 13.9688 48.0256 1318.91 -9.91618e-07
  76 14.1562 48.0256 1293.44 6.87283e-06
  77 14.3438 48.0256 1589.48 8.62236e-05
  78 14.5312 48.0256 1766.5 -4.92781e-05
  79 14.7188 48.0256 1926.03 8.90872e-06
  80 14.9062 48.0256 151398 -2.65397e-07
