# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
1000000 80 174608
  1 0.09375 48.0256 0.10774 1.81899
  2 0.28125 48.0256 0.32574 1.83195
  3 0.46875 48.0256 0.53958 1.83495
  4 0.65625 48.0256 0.75373 1.82231
  5 0.84375 48.0256 0.96829 1.8579
  6 1.03125 48.0256 1.1906 1.85306
  7 1.21875 48.0256 1.39554 1.85832
  8 1.40625 48.0256 1.61793 1.85191
  9 1.59375 48.0256 1.83724 1.86239
  10 1.78125 48.0256 2.04154 1.84906
  11 1.96875 48.0256 2.24526 1.84043
  12 2.15625 48.0256 2.45838 1.84028
  13 2.34375 48.0256 2.69073 1.84074
  14 2.53125 48.0256 2.91527 1.82454
  15 2.71875 48.0256 3.13809 1.81639
  16 2.90625 48.0256 3.36068 1.8217
  17 3.09375 48.0256 3.54903 1.81148
  18 3.28125 48.0256 3.76565 1.80598
  19 3.46875 48.0256 3.97992 1.7954
  20 3.65625 48.0256 4.18999 1.78971
  21 3.84375 48.0256 4.4261 1.76901
  22 4.03125 48.0256 4.64758 1.76885
  23 4.21875 48.0256 4.8518 1.75381
  24 4.40625 48.0256 5.07524 1.74958
  25 4.59375 48.0256 5.30599 1.74847
  26 4.78125 48.0256 5.52028 1.73905
  27 4.96875 48.0256 5.73365 1.73012
  28 5.15625 48.0256 5.96181 1.7193
  29 5.34375 48.0256 6.18993 1.72867
  30 5.53125 48.0256 6.42579 1.71013
  31 5.71875 48.0256 6.66759 1.70781
  32 5.90625 48.0256 6.89622 1.69515
  33 6.09375 48.0256 7.10538 1.6914
  34 6.28125 48.0256 7.33658 1.67407
  35 6.46875 48.0256 7.54818 1.65653
  36 6.65625 48.0256 7.76449 1.64437
  37 6.84375 48.0256 8.00063 1.63572
  38 7.03125 48.0256 8.24503 1.6254
  39 7.21875 48.0256 8.47965 1.61227
  40 7.40625 48.0256 8.71644 1.59796
  41 7.59375 48.0256 8.94448 1.5751
  42 7.78125 48.0256 9.18991 1.55683
  43 7.96875 48.0256 9.43579 1.54173
  44 8.15625 48.0256 9.64351 1.52551
  45 8.34375 48.0256 9.84412 1.50843
  46 8.53125 48.0256 10.098 1.49096
  47 8.71875 48.0256 10.3646 1.47289
  48 8.90625 48.0256 10.6353 1.44182
  49 9.09375 48.0256 10.8359 1.41458
  50 9.28125 48.0256 11.132 1.38766
  51 9.46875 48.0256 11.439 1.34812
  52 9.65625 48.0256 11.7802 1.3162
  53 9.84375 48.0256 12.1971 1.26125
  54 10.0312 48.0256 12.7759 1.19553
  55 10.2188 48.0256 13.6465 1.11211
  56 10.4062 48.0256 15.0016 0.98831
  57 10.5938 48.0256 17.8549 0.802677
  58 10.7812 48.0256 25.5503 0.532617
  59 10.9688 48.0256 48.0973 0.260447
  60 11.1562 48.0256 94.7391 0.109541
  61 11.3438 48.0256 157.182 0.0465523
  62 11.5312 48.0256 242.117 0.0188742
  63 11.7188 48.0256 418.754 0.00644204
  64 11.9062 48.0256 849.632 0.00189982
  65 12.0938 48.0256 1096.62 0.000727482
  66 12.2812 48.0256 963.648 0.000331292
  67 12.4688 48.0256 1051.65 0.000191061
  68 12.6562 48.0256 1057.65 1.20449e-05
  69 12.8438 48.0256 1487.42 4.77627e-05
  70 13.0312 48.0256 1626.76 3.98554e-05
  71 13.2188 48.0256 1284.08 -3.20248e-05
  72 13.4062 48.0256 955.951 1.83433e-05
  73 13.5938 48.0256 1775.53 -1.80201e-05
  74 13.7812 48.0256 1841.01 4.60734e-05
  75 13.9688 48.0256 1317.54 -3.08111e-05
  76 14.1562 48.0256 1293.34 7.2877e-07
  77 14.3438 48.0256 1604.27 4.37744e-05
  78 14.5312 48.0256 1749 -1.08656e-05
  79 14.7188 48.0256 1925.46 -3.63368e-06
  80 14.9062 48.0256 151373 2.42945e-07
